#Zeitstempel	Wert
459900	24.239
460200	24.241
460500	24.238
460800	24.222
461100	24.205
461400	24.187
461700	24.17
462000	24.153
462300	24.135
462600	24.118
462900	24.101
463200	24.083
463500	24.066
463800	24.048
464100	24.031
464400	24.014
464700	23.996
465000	23.979
465300	23.962
465600	23.944
465900	23.927
466200	23.91
466500	23.691
466800	23.056
467100	22.408
467400	21.76
467700	21.113
468000	21.239
468300	22.427
468600	23.621
468900	24.618
469200	24.162
469500	23.438
469800	24.114
470100	25.553
470400	23.976
470700	21.1
471000	23.232
471300	25.127
471600	22.56
471900	20.964
472200	23.543
472500	25.907
472800	22.431
473100	20.751
473400	23.72
473700	25.579
474000	23.02
474300	20.386
474600	22.911
474900	25.82
475200	23.489
475500	24.096
475800	25.479
476100	26.863
476400	26.681
476700	24.826
477000	22.983
477300	22.426
477600	22.753
477900	23.08
478200	23.27
478500	23.282
478800	23.294
479100	23.306
479400	23.319
479700	23.331
480000	23.343
480300	23.355
480600	23.367
480900	23.328
481200	22.857
481500	22.362
481800	22.557
482100	22.92
482400	23.255
482700	22.889
483000	22.693
483300	25.164
483600	26.686
483900	25.228
484200	23.667
484500	22.787
484800	24.549
485100	26.325
485400	24.547
485700	21.879
486000	23.464
486300	25.655
486600	23.845
486900	21.532
487200	20.87
487500	24.386
487800	23.641
488100	22.224
488400	20.821
488700	21.632
489000	24.057
489300	25.217
489600	23.616
489900	21.918
490200	21.877
490500	26.15
490800	25.047
491100	23.667
491400	22.822
491700	24.312
492000	25.934
492300	24.824
492600	22.658
492900	21.168
493200	22.287
493500	22.287
493800	22.173
494100	21.416
494400	20.558
494700	20.188
495000	21.534
495300	21.259
495600	20.215
495900	22.765
496200	25.715
496500	24.909
496800	23.911
497100	22.913
497400	22.976
497700	25.94
498000	25.768
498300	24.309
498600	22.849
498900	21.996
499200	22.392
499500	22.569
499800	22.559
500100	22.549
500400	22.539
500700	22.528
501000	22.518
501300	22.508
501600	22.498
501900	22.488
502200	22.478
502500	22.468
502800	22.457
503100	22.447
503400	22.437
503700	22.427
504000	22.417
504300	22.407
504600	22.415
504900	22.438
505200	22.46
505500	22.482
505800	22.504
506100	22.527
506400	22.549
506700	22.559
507000	22.393
507300	22.169
507600	20.793
507900	18.343
508200	16.015
508500	14.032
508800	13.26
509100	12.646
509400	12.054
509700	17.511
510000	27.803
510300	27.747
510600	27.665
510900	27.584
511200	27.502
511500	27.421
511800	27.312
512100	27.09
512400	26.947
512700	26.945
513000	26.945
513300	26.945
513600	26.945
513900	26.945
514200	26.945
514500	26.945
514800	26.945
515100	26.945
515400	26.945
515700	26.945
516000	26.945
516300	26.945
516600	26.945
516900	26.945
517200	26.945
517500	26.945
517800	26.933
518100	26.91
518400	26.887
518700	26.864
519000	26.841
519300	26.818
519600	26.795
519900	26.772
520200	26.749
520500	26.726
520800	26.703
521100	26.68
521400	26.656
521700	26.633
522000	26.61
522300	26.596
522600	26.59
522900	26.584
523200	26.577
523500	26.571
523800	26.564
524100	26.558
524400	26.551
524700	26.544
525000	26.476
525300	26.368
525600	26.26
525900	26.123
526200	25.689
526500	25.179
526800	24.669
527100	24.158
527400	23.654
527700	23.344
528000	23.128
528300	22.913
528600	22.657
528900	22.297
529200	22.129
529500	22.158
529800	21.827
530100	21.377
530400	21.367
530700	21.367
531000	21.367
531300	21.333
531600	21.227
531900	21.118
532200	21.01
532500	20.902
532800	20.793
533100	20.685
533400	20.632
533700	20.66
534000	20.688
534300	20.717
534600	20.745
534900	20.774
535200	20.751
535500	20.639
535800	20.524
536100	20.41
536400	20.334
536700	20.332
537000	20.332
537300	20.332
537600	20.332
537900	20.332
538200	20.332
538500	20.332
538800	20.332
539100	20.332
539400	20.332
539700	20.332
540000	20.332
540300	20.332
540600	20.332
540900	20.332
541200	20.332
541500	20.332
541800	20.313
542100	20.229
542400	20.14
542700	20.051
543000	19.962
543300	19.873
543600	19.818
543900	19.81
544200	19.803
544500	19.796
544800	19.789
545100	19.781
545400	19.774
545700	19.768
546000	19.776
546300	19.786
546600	19.797
546900	19.807
547200	19.818
547500	19.829
547800	19.839
548100	19.85
548400	19.86
548700	19.871
549000	19.881
549300	19.892
549600	19.902
549900	19.913
550200	19.923
550500	19.509
550800	18.399
551100	17.395
551400	18.37
551700	19.738
552000	20.939
552300	21.415
552600	20.516
552900	20.251
553200	20.159
553500	20.067
553800	19.717
554100	18.47
554400	18.445
554700	19.054
555000	19.541
555300	19.524
555600	19.482
555900	19.9
556200	19.852
556500	18.778
556800	18.633
557100	20.136
557400	21.724
557700	21.877
558000	20.426
558300	19.987
558600	19.987
558900	19.987
559200	19.738
559500	19.298
559800	18.879
560100	19.07
560400	19.549
560700	19.712
561000	19.712
561300	19.712
561600	19.712
561900	19.712
562200	19.712
562500	19.712
562800	19.712
563100	19.712
563400	19.712
563700	19.712
564000	19.712
564300	19.712
564600	19.712
564900	19.712
565200	19.712
565500	19.712
565800	19.755
566100	20.428
566400	21.316
566700	22.195
567000	22.453
567300	22.353
567600	22.253
567900	22.153
568200	22.053
568500	21.953
568800	21.853
569100	21.916
569400	22.505
569700	23.136
570000	23.731
570300	23.16
570600	22.025
570900	21.275
571200	22.016
571500	22.906
571800	23.708
572100	23.865
572400	23.892
572700	23.919
573000	23.955
573300	24.669
573600	25.553
573900	24.177
574200	24.124
574500	26.203
574800	26.908
575100	25.944
575400	25.158
575700	25.037
576000	24.977
